Combinations,Calories,Total Fat,Saturated Fat,Cholestorol,Protein,Carbs,Sodium,Fiber,Sugars
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Barbacoa - Pro, Chipotle - Fresh Tomato Salsa - Top",405.0,11.0,3.0,65.0,28.0,46.0,1430.0,3.0,1.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Sofritas - Pro, Chipotle - Queso Blanco (Entree) - Top",500.0,23.0,9.0,30.0,18.0,58.0,1310.0,5.0,8.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Chips regular - Side",1070.0,55.0,15.0,95.0,38.0,106.0,1090.0,10.0,2.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Carnitas - Pro, Chipotle - Fresh Tomato Salsa - Top, Chipotle - Tomatillo-Green Chili Salsa - Top",450.0,21.0,8.0,65.0,26.0,37.0,1260.0,4.0,3.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Chicken - Pro, Chipotle - Queso Blanco (Entree) - Top",630.0,26.5,11.0,155.0,48.0,55.0,770.0,10.0,3.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Chicken - Pro, Chipotle - Cheese - Top, Chipotle - Queso Blanco (Entree) - Top",620.0,28.0,10.5,185.0,47.0,45.0,1100.0,1.0,1.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Steak - Pro, Chipotle - Cheese - Top, Chipotle - Chips regular - Side",1010.0,45.0,3.5,110.0,38.0,111.0,1100.0,10.0,1.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Barbacoa - Pro, Chipotle - Roasted Chili-Corn Salsa - Top",590.0,16.0,3.5,65.0,39.0,76.0,1260.0,13.0,6.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Black Beans - Top, Chipotle - Carne Asada - Pro, Chipotle - Romaine Lettuce - Top",585.0,24.5,6.0,100.0,40.0,53.0,950.0,11.0,2.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Steak - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top",395.0,10.0,3.0,80.0,26.0,50.0,1090.0,3.0,4.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Fajita Vegetables - Top, Chipotle - Barbacoa - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top",405.0,16.0,3.5,65.0,28.0,40.0,940.0,5.0,4.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Steak - Pro, Chipotle - Queso Blanco (Entree) - Top, Chipotle - Romaine Lettuce - Top",485.0,21.0,10.5,110.0,30.0,42.0,770.0,4.0,1.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Black Beans - Top, Chipotle - Steak - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top",505.0,11.5,3.0,80.0,33.0,67.0,1150.0,9.0,4.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Sofritas - Pro, Chipotle - Queso Blanco (Side) - Top, Chipotle - Romaine Lettuce - Top",605.0,34.0,8.5,60.0,22.0,53.0,1240.0,6.0,7.0
"Chipotle - Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Carnitas - Pro, Chipotle - Queso Blanco (Entree) - Top",710.0,30.5,15.0,95.0,43.0,65.0,1390.0,10.0,2.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Steak - Pro, Chipotle - Romaine Lettuce - Top",355.0,15.0,3.5,80.0,24.0,31.0,330.0,5.0,0.0
"Chipotle - Tortilla burrito - Carb, Chipotle - Steak - Pro, Chipotle - Cheese - Top, Chipotle - Romaine Lettuce - Top",585.0,23.0,3.0,110.0,35.0,53.0,1120.0,5.0,0.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Carnitas - Pro, Chipotle - Roasted Chili-Corn Salsa - Top, Chipotle - Cheese - Top",610.0,25.5,7.5,95.0,36.0,57.0,1320.0,4.0,4.0
"Chipotle - Cilantro-Lime White Rice - Carb, Chipotle - Sofritas - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top",375.0,14.0,2.0,0.0,12.0,53.0,1170.0,4.0,7.0
"Chipotle - Cilantro-Lime Brown Rice - Carb, Chipotle - Sofritas - Pro, Chipotle - Tomatillo-Green Chili Salsa - Top, Chipotle - Chips regular - Side",915.0,41.0,2.5,0.0,19.0,122.0,1400.0,12.0,8.0
"Chipotle - Crispy Corn Tortilla taco - Carb, Chipotle - Pinto Beans - Top, Chipotle - Carne Asada - Pro, Chipotle - Roasted Chili-Corn Salsa - Top",660.0,26.0,6.0,100.0,43.0,67.0,1280.0,14.0,5.0
