Company,Item,Calories,TotalFat_g,SaturatedFat_g,Cholesterol_mg,Sodium_mg,Carbs_g,Fiber_g,Sugars_g,Protein_g,ItemType
McDonald’s,Hamburger,250,9,4,25,520,31,2,6,12,LD
McDonald’s,Cheeseburger,300,12,6,40,750,33,2,6,15,LD
McDonald’s,Double Cheeseburger,440,23,11,80,1150,34,2,7,25,LD
McDonald’s,McDouble,390,19,8,65,920,33,2,7,22,LD
McDonald’s,Quarter Pounder® with Cheese,510,26,12,90,1190,40,3,9,29,LD
McDonald’s,Double Quarter Pounder® with Cheese,740,42,19,155,1380,40,3,9,48,LD
McDonald’s,Big Mac®,540,29,10,75,1040,45,3,9,25,LD
McDonald’s,Big N’ Tasty®,460,24,8,70,720,37,3,8,24,LD
McDonald’s,Big N’ Tasty® with Cheese,510,28,11,85,960,38,3,8,27,LD
McDonald’s,Angus Mushroom & Swiss,770,40,17,135,1170,59,4,8,44,LD
McDonald’s,Filet-O-Fish®,380,18,4,40,640,38,2,5,15,LD
McDonald’s,McChicken ®,360,16,3,35,830,40,2,5,14,LD
McDonald’s,McRib ®,500,26,10,70,980,44,3,11,22,LD
McDonald’s,Premium Grilled Chicken Classic Sandwich,360,9,2,65,820,41,4,8,27,LD
McDonald’s,Premium Crispy Chicken Classic Sandwich,510,22,4,45,990,56,3,10,24,LD
McDonald’s,Premium Grilled Chicken Club Sandwich,460,17,6,90,1040,43,4,9,35,LD
McDonald’s,Premium Crispy Chicken Club Sandwich,620,29,7,70,1200,57,3,11,31,LD
McDonald’s,Premium Grilled Chicken Ranch BLT Sandwich,380,10,3,75,1000,41,4,9,31,LD
McDonald’s,Premium Crispy Chicken Ranch BLT Sandwich,540,23,5,55,1160,56,3,11,27,LD
McDonald’s,Southern Style Crispy Chicken Sandwich,400,17,3,45,1030,39,1,6,24,LD
McDonald’s,Ranch Snack Wrap® (Crispy),340,17,5,30,810,33,1,2,14,LD
McDonald’s,Ranch Snack Wrap® (Grilled),270,10,4,45,830,26,1,2,18,LD
McDonald’s,Honey Mustard Snack Wrap® (Crispy),330,16,5,30,780,34,1,4,14,LD
McDonald’s,Honey Mustard Snack Wrap® (Grilled),260,9,4,45,800,27,1,4,18,LD
McDonald’s,Chipotle BBQ Snack Wrap® (Crispy),330,15,5,30,810,35,1,4,14,LD
McDonald’s,Chipotle BBQ Snack Wrap® (Grilled),260,9,4,45,830,28,1,5,18,LD
McDonald’s,Angus Bacon & Cheese Snack Wrap,390,21,9,75,1080,28,1,4,21,LD
McDonald’s,Angus Chipotle BBQ Bacon Snack Wrap,400,22,10,75,1060,30,1,6,21,LD
McDonald’s,Angus Deluxe Snack Wrap,410,25,10,75,990,27,2,3,20,LD
McDonald’s,Angus Mushroom & Swiss Snack Wrap,430,26,10,75,730,27,2,2,22,LD
McDonald’s,Mac Snack Wrap,330,19,7,45,690,26,1,3,15,LD
McDonald’s,Small French Fries,230,11,2,0,160,29,3,0,3,S
McDonald’s,Medium French Fries,380,19,3,0,270,48,5,0,4,S
McDonald’s,Large French Fries,500,25,4,0,350,63,6,0,6,S
