Company,Item,Calories,TotalFat_g,SaturatedFat_g,Cholesterol_mg,Sodium_mg,Carbs_g,Fiber_g,Sugars_g,Protein_g,ItemType
Pizza Hut,Detroit Double Cheesy Pizza Slice,280,12,6,30,560,31,2,2,13,LD
Pizza Hut,Detroit Double Pepperoni Pizza Slice,330,17,7,40,720,30,2,2,14,LD
Pizza Hut,Detroit Meaty Pizza Slice,320,16,6,35,640,31,2,2,14,LD
Pizza Hut,Detroit Supremo Pizza Slice,290,13,6,30,570,31,2,2,13,LD
Pizza Hut,Pan Pizza Slices Backyard BBQ Chicken Personal Pan,180,6,2,15,370,25,1,8,8,LD
Pizza Hut,Pan Pizza Slices Backyard BBQ Chicken Medium,270,10,4,25,450,33,2,6,11,LD
Pizza Hut,Pan Pizza Slices Backyard BBQ Chicken Large,380,16,6,35,650,43,2,7,16,LD
Pizza Hut,Pan Pizza Slices Beyond Meat® Pepperoni Medium,240,10,5,15,470,29,2,1,10,LD
Pizza Hut,Pan Pizza Slices Beyond Meat® Pepperoni Large,350,16,6,25,680,38,3,2,14,LD
Pizza Hut,Pan Pizza Slices Buffalo Chicken Personal Pan,160,5,2,15,570,22,1,2,7,LD
Pizza Hut,Pan Pizza Slices Buffalo Chicken Medium,240,9,4,20,680,31,2,2,11,LD
Pizza Hut,Pan Pizza Slices Buffalo Chicken Large,350,14,5,30,850,40,2,2,15,LD
Pizza Hut,Pan Pizza Slices Cheese Personal Pan,150,6,3,15,310,17,1,2,7,LD
Pizza Hut,Pan Pizza Slices Cheese Medium,250,10,5,25,450,28,2,1,11,LD
Pizza Hut,Pan Pizza Slices Cheese Large,360,17,7,35,660,37,2,2,16,LD
Pizza Hut,Pan Pizza Slices Chicken Bacon Parmesan Personal Pan,180,8,3,20,350,17,1,2,9,LD
Pizza Hut,Pan Pizza Slices Chicken Bacon Parmesan Medium,270,13,5,30,470,27,2,1,12,LD
Pizza Hut,Pan Pizza Slices Chicken Bacon Parmesan Large,390,20,7,40,680,35,2,2,18,LD
Pizza Hut,Pan Pizza Slices Hawaiian Chicken Personal Pan,150,5,2,15,330,18,1,3,8,LD
Pizza Hut,Pan Pizza Slices Hawaiian Chicken Medium,240,9,4,20,480,29,2,2,12,LD
