Company,Item,Calories,TotalFat_g,SaturatedFat_g,Cholesterol_mg,Sodium_mg,Carbs_g,Fiber_g,Sugars_g,Protein_g,ItemType
Wendy’s,Dave’s Double,810,51,20,175,1280,41,3,8,49,LD
Wendy’s,Dave’s Single,570,34,13,100,1110,40,3,9,30,LD
Wendy’s,Double Stack,390,21,9,90,740,26,1,6,25,LD
Wendy’s,Jr. Bacon Cheeseburger,380,22,8,65,680,25,1,5,19,LD
Wendy’s,Jr. Cheeseburger,280,13,6,50,660,26,1,6,16,LD
Wendy’s,Jr. Cheeseburger Deluxe,340,19,7,55,660,27,2,7,16,LD
Wendy’s,Son of Baconator,630,39,15,125,1280,37,2,7,34,LD
Wendy’s,3 Piece Chicken Tenders,330,16,3,75,1010,22,0,0,24,LD
Wendy’s,4 Piece Chicken Nuggets,170,11,2,35,340,10,0,0,9,LD
Wendy’s,4 Piece Chicken Tenders,430,21,4,100,1350,29,0,1,32,LD
Wendy’s,6 Picece Chicken Nuggets,250,16,4,50,510,14,1,0,13,LD
Wendy’s,10 Piece Chicken Nuggets,420,27,5,80,850,24,1,0,22,LD
Wendy’s,Crispy Chicken BLT,420,23,6,50,950,35,2,5,20,LD
Wendy’s,Crispy Chicken Sandwich,330,16,3,30,600,33,2,4,14,LD
Wendy’s,Grilled Asiago Ranch Club,530,23,7,120,1220,36,3,6,43,LD
Wendy’s,Grilled Chicken Sandwich,370,10,2,90,830,38,3,8,34,LD
Wendy’s,Grilled Chicken Wrap,270,10,4,55,640,24,2,3,20,LD
Wendy’s,Homestyle Chicken Sandwich,510,22,4,70,1150,51,3,6,28,LD
Wendy’s,Spicy Chicken Sandwich,510,20,4,65,1030,54,4,6,29,LD
Wendy’s,Spicy Chicken Wrap,370,20,5,50,850,30,2,2,18,LD
Wendy’s,"Apple Pecan Chicken Salad, Full Size",560,24,7,115,1020,52,7,40,38,LD
Wendy’s,"Apple Pecan Chicken Salad, Half Size",340,17,4,55,550,29,4,22,20,LD
Wendy’s,"Berry Burst Chicken Salad, Full Size",460,17,5,105,1090,41,7,29,41,LD
Wendy’s,"Berry Burst Chicken Salad, Half Size",290,13,3,50,570,23,5,15,23,LD
Wendy’s,Caesar Side Salad,240,15,4,30,500,19,3,4,8,S
Wendy’s,Garden Side Salad,250,18,4,20,460,18,2,4,7,S
Wendy’s,"Southwest Avocado Chicken Salad, Full Size",600,41,11,135,1220,18,7,7,42,LD
Wendy’s,"Southwest Avocado Chicken Salad, Half Size",300,20,6,70,620,10,4,4,21,LD
Wendy’s,"Spicy Caesar Chicken Salad, Half Size",410,23,6,75,930,30,5,4,23,LD
Wendy’s,"Taco Salad, Half Size",470,23,8,45,1320,49,7,12,19,LD
Wendy’s,Baconator Fries,490,28,9,35,550,45,4,2,14,S
Wendy’s,Bacon Cheese Baked Potato,440,14,6,35,550,64,7,4,17,S
Wendy’s,Cheese Baked Potato,430,13,7,30,560,65,7,5,14,S
Wendy’s,Chili & Cheese Baked Potato,460,11,5,35,710,71,8,7,19,S
Wendy’s,"Chili, Large",250,7,3,50,1170,23,5,9,23,S
Wendy’s,"Chili, Small",170,5,2,35,780,16,4,6,15,S
Wendy’s,Chili Cheese Fries,500,25,8,35,710,53,6,4,16,S
Wendy’s,"Natural-Cut Fries, Junior",230,10,2,0,15,30,3,0,3,S
Wendy’s,"Natural-Cut Fries, Large",530,24,5,0,520,70,6,0,7,S
Wendy’s,"Natural-Cut Fries, Medium",420,19,4,0,420,56,5,0,6,S
Wendy’s,"Natural-Cut Fries, Small",320,15,3,0,320,43,4,0,5,S
Wendy’s,Plain Baked Potato,270,0,0,0,25,61,7,3,7,S
Wendy’s,Sour Cream and Chive Baked Potato,310,3,3,10,35,63,7,4,8,S
Wendy’s,Kids 2 Piece Chicken Tenders,200,10,2,45,620,13,0,0,15,LD
Wendy’s,Kids 4 Piece Chicken Nuggets,170,11,2,35,340,10,0,0,9,LD
Wendy’s,Kids Cheeseburger,280,13,6,50,540,25,1,5,15,LD
Wendy’s,Kids Grilled Chicken Wrap,270,10,4,55,640,24,2,3,20,LD
Wendy’s,Kids Hamburger,240,9,4,40,350,24,1,5,13,LD
Wendy’s,Artisan Egg Sandwich with Bacon,320,17,8,245,750,25,1,4,18,B
Wendy’s,Artisan Egg Sandwich with Sausage,480,33,13,275,980,27,1,4,21,B
Wendy’s,Bacon Breakfast Bowl,510,28,9,245,1390,44,4,2,19,B
Wendy’s,Biggie Breakfast Sandwich,610,40,15,290,1400,37,2,7,27,B
Wendy’s,Fresh-Baked Biscuit with Applewood Smoked Bacon,410,24,13,235,970,34,1,5,15,B
Wendy’s,Fresh Baked Biscuit with Natural Sausage,590,41,19,270,1270,36,1,6,20,B
Wendy’s,Gravy and Sausage Bowl,450,22,6,220,1260,50,4,2,12,B
Wendy’s,Honey Butter Chicken Biscuit,500,26,12,50,1120,48,1,9,19,B
Wendy’s,Sausage and Egg Burrito,360,20,8,210,920,29,1,2,17,B
Wendy’s,Sausage and Gravy Biscuit,490,29,14,20,1400,49,2,6,8,B
Wendy’s,Sausage Biscuit,480,33,15,50,1010,35,1,5,12,B
Wendy’s,"Seasoned Home-Style Potatoes, Large",360,13,3,0,1080,57,6,1,5,B
Wendy’s,"Seasoned Home-Style Potatoes, Medium",250,9,2,0,750,39,4,1,4,B
Wendy’s,"Seasoned Home-Style Potatoes, Small",230,8,2,0,680,35,4,0,3,B
