Company,Item,Calories,TotalFat_g,SaturatedFat_g,Cholesterol_mg,Sodium_mg,Carbs_g,Fiber_g,Sugars_g,Protein_g,ItemType
Chipotle,Tortilla burrito,320,9,0.5,0,600,50,3,0,8,Carb
Chipotle,Tortilla taco,250,8,1,0,480,40,2,0,7,Carb
Chipotle,Crispy Corn Tortilla taco,200,9,1,0,0,29,3,0,3,Carb
Chipotle,Cilantro-Lime Brown Rice,210,6,1,0,190,36,2,0,4,Carb
Chipotle,Cilantro-Lime White Rice,210,4,0.5,0,350,40,1,0,4,Carb
Chipotle,Black Beans,130,1.5,0,0,210,22,7,2,8,Top
Chipotle,Pinto Beans,130,1.5,0,0,210,21,8,1,8,Top
Chipotle,Fajita Vegetables,20,0,0,0,150,5,1,2,1,Top
Chipotle,Barbacoa,170,7,2.5,65,530,2,1,0,24,Pro
Chipotle,Chicken,180,7,3,125,310,0,0,0,32,Pro
Chipotle,Carnitas,210,12,7,65,450,0,0,0,23,Pro
Chipotle,Carne Asada,250,14,5,100,740,1,0,0,29,Pro
Chipotle,Steak,150,6,2.5,80,330,1,1,0,21,Pro
Chipotle,Sofritas,150,10,1.5,0,560,9,3,5,8,Pro
Chipotle,Fresh Tomato Salsa,25,0,0,0,550,4,1,1,0,Top
Chipotle,Roasted Chili-Corn Salsa,80,1.5,0,0,330,16,3,4,3,Top
Chipotle,Tomatillo-Green Chili Salsa,15,0,0,0,260,4,0,2,0,Top
Chipotle,Tomatillo-Red Chili Salsa,30,0,0,0,500,4,1,0,0,Top
Chipotle,Cheese,110,8,0,30,190,1,0,0,6,Top
Chipotle,Sour Cream,110,9,5,40,30,2,0,2,2,Top
Chipotle,Guacomole (Side),230,22,7,0,370,8,6,1,2,Top
Chipotle,Guacomole,460,44,3.5,0,740,16,12,2,4,Top
Chipotle,Queso Blanco (Entree),120,9,7,30,250,4,0,1,5,Top
Chipotle,Queso Blanco (Side),240,18,6,60,490,7,0,2,10,Top
Chipotle,Queso Blanco,480,37,12,120,980,14,1,5,20,Top
Chipotle,Romaine Lettuce,5,0,0,0,0,1,1,0,0,Top
Chipotle,Chips regular,540,25,0,0,390,73,7,1,7,Side
Chipotle,Chips large,810,38,3.5,0,590,110,11,2,11,Side
