Company,Item,Calories,TotalFat_g,SaturatedFat_g,Cholesterol_mg,Sodium_mg,Carbs_g,Fiber_g,Sugars_g,Protein_g,ItemType
Mcdonalds,Artisan Grilled Chicken Sandwich,380,7,2,95,1110,44,3,11,37,LD
Mcdonalds,Single Bacon Smokehouse Burger,840,45,17,130,1580,62,2,18,46,LD
Mcdonalds,Double Bacon Smokehouse Burger,1130,67,27,220,1920,63,3,18,70,LD
Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750,31,10,155,1940,62,2,18,55,LD
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920,45,12,120,1980,81,4,18,46,LD
Mcdonalds,Big Mac,540,28,10,80,950,46,3,9,25,LD
Mcdonalds,Cheeseburger,300,12,5,40,680,33,2,7,15,LD
Mcdonalds,Classic Chicken Sandwich,510,24,4,65,1040,49,3,6,25,LD
Mcdonalds,Double Cheeseburger,430,21,11,85,1040,35,2,7,25,LD
Mcdonalds,Double Quarter Pounder® with Cheese,770,45,21,175,1290,42,3,10,51,LD
Mcdonalds,Filet-O-Fish®,380,18,4,40,640,38,2,5,15,LD
Mcdonalds,Garlic White Cheddar Burger,620,34,13,95,790,48,3,11,32,LD
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530,20,7,125,1150,48,3,11,42,LD
Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700,34,9,85,1190,67,5,11,33,LD
Mcdonalds,Hamburger,250,8,3,30,480,31,2,6,13,LD
Mcdonalds,Lobster Roll,290,5,1.5,65,630,35,2,3,24,LD
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640,36,14,110,1260,40,3,10,37,LD
Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580,21,8,135,1890,50,3,14,48,LD
Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740,35,9,95,1780,69,5,14,39,LD
Mcdonalds,McChicken,350,15,3.5,40,600,40,2,5,15,LD
Mcdonalds,McDouble,380,18,8,70,840,34,2,7,23,LD
Mcdonalds,McRib,480,22,7,80,870,45,2,12,25,LD
Mcdonalds,Pico Guacamole 1/4 lb Burger,580,33,12,95,920,41,4,7,29,LD
Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,520,18,6,115,1540,50,4,12,40,LD
Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,680,32,7,80,1430,69,6,12,31,LD
Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570,23,5,60,1050,64,4,11,28,LD
Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,530,22,4,45,1000,59,3,13,25,LD
Mcdonalds,Quarter Pounder® with Cheese,530,27,13,100,1090,41,3,10,31,LD
Mcdonalds,Signature Sriracha Burger,670,35,12,95,1010,56,4,13,32,LD
Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,560,20,5,115,1550,56,4,14,41,LD
Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,730,33,7,80,1430,75,5,13,32,LD
Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,690,37,14,110,1310,51,3,14,38,LD
Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,630,22,7,135,1930,61,4,18,48,LD
Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,800,36,9,95,1820,80,5,18,39,LD
Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders,370,21,3.5,70,910,16,0,0,28,LD
Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,480,28,4.5,95,1290,21,0,1,38,LD
Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,760,44,8,145,1890,32,1,1,58,LD
Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,1210,70,12,240,3230,52,1,4,94,LD
Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,1510,88,15,295,3770,64,1,2,115,LD
Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,2430,141,24,475,6080,103,2,3,186,LD
Mcdonalds,4 Piece Chicken McNuggets,180,11,2,30,340,11,1,0,10,LD
Mcdonalds,6 Piece Chicken McNuggets,270,16,2.5,45,510,16,1,0,15,LD
Mcdonalds,10 Piece Chicken McNuggets,440,27,4.5,75,840,26,2,0,24,LD
Mcdonalds,20 Piece Chicken McNuggets,890,53,9,145,1680,53,4,0,49,LD
Mcdonalds,40 piece Chicken McNuggets,1770,107,18,295,3370,105,7,1,98,LD
Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,640,27,4,105,1780,63,2,35,39,LD
Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,960,40,6,160,2670,94,3,52,58,LD
Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,1600,66,10,265,4450,156,5,87,97,LD
Mcdonalds,Premium Asian Salad w/o Chicken,140,7,0.5,0,20,13,5,7,7,LD
Mcdonalds,Premium Asian Salad w/ Grilled Chicken,270,9,1,80,740,18,5,10,31,LD
Mcdonalds,Premium Asian Salad w/ Crispy Chicken,490,28,8,95,1120,28,4,4,33,LD
Mcdonalds,Premium Bacon Ranch Salad w/o Chicken,190,12,5,40,660,9,3,3,14,LD
Mcdonalds,Premium Bacon Ranch Salad w/ Grilled Chicken,320,14,6,45,1230,9,3,4,42,LD
Mcdonalds,Premium Bacon Ranch Salad w/ Crispy Chicken,490,28,8,95,1120,28,4,4,33,LD
Mcdonalds,Premium Southwest Salad w/o Chicken,220,10,3.5,15,500,26,6,9,8,LD
Mcdonalds,Premium Southwest Salad w/ Grilled Chicken,350,12,4.5,110,1070,27,6,9,37,LD
Mcdonalds,Premium Southwest Salad w/ Crispy Chicken,520,25,6,75,960,46,8,9,28,LD
Chick Fil-A,Chargrilled Chicken Club Sandwich,430,16,8,85,1120,37,3,7,37,LD
Chick Fil-A,Chargrilled Chicken Sandwich,310,6,2,55,820,36,3,7,29,LD
Chick Fil-A,Chick-n-Slider,270,11,2.5,45,800,26,1,4,16,LD
Chick Fil-A,1 Piece Chick-n-Strips,120,6,3,25,320,6,0,1,11,LD
Chick Fil-A,2 Piece Chick-n-Strips,230,12,3,55,630,13,1,1,22,LD
Chick Fil-A,3 Piece Chick-n-Strips,350,17,3,70,940,22,1,3,28,LD
Chick Fil-A,4 piece Chick-n-Strips,470,23,3,90,1250,29,1,4,37,LD
Chick Fil-A,Chicken Deluxe,500,23,7,75,1590,42,3,6,31,LD
Chick Fil-A,4 piece Chicken Nuggets,130,6,1.5,40,490,5,1,0,14,LD
Chick Fil-A,6 piece Chicken Nuggets,190,9,1.5,55,730,7,1,0,21,LD
Chick Fil-A,8 piece Chicken Nuggets,260,12,3,70,990,9,1,1,28,LD
Chick Fil-A,12 piece Chicken Nuggets,390,18,1.5,115,1460,14,2,1,41,LD
Chick Fil-A,30 piece Chicken Nuggets,970,46,2.5,285,3660,35,4,1,103,LD
Chick Fil-A,Chicken Salad Sandwich,490,19,3,80,1130,55,5,12,28,LD
Chick Fil-A,Chicken Sandwich,440,19,4,60,1350,40,2,5,28,LD
Chick Fil-A,4 Piece Grilled Chicken Nuggets,70,2,1,35,220,1,0,0,13,LD
Chick Fil-A,6 Piece Grilled Chicken Nuggets,110,3,1,50,330,2,0,0,19,LD
Chick Fil-A,8 piece Grilled Chicken Nuggets,140,4,1,70,440,2,0,0,25,LD
