Company,Item,Calories,TotalFat_g,SaturatedFat_g,Cholesterol_mg,Sodium_mg,Carbs_g,Fiber_g,Sugars_g,Protein_g,ItemType
Chick Fil-A,Chargrilled Chicken Club Sandwich,430,16,8,85,1120,37,3,7,37,LD
Chick Fil-A,Chargrilled Chicken Sandwich,310,6,2,55,820,36,3,7,29,LD
Chick Fil-A,Chick-n-Slider,270,11,2.5,45,800,26,1,4,16,LD
Chick Fil-A,1 Piece Chick-n-Strips,120,6,3,25,320,6,0,1,11,LD
Chick Fil-A,2 Piece Chick-n-Strips,230,12,3,55,630,13,1,1,22,LD
Chick Fil-A,3 Piece Chick-n-Strips,350,17,3,70,940,22,1,3,28,LD
Chick Fil-A,4 piece Chick-n-Strips,470,23,3,90,1250,29,1,4,37,LD
Chick Fil-A,Chicken Deluxe,500,23,7,75,1590,42,3,6,31,LD
Chick Fil-A,4 piece Chicken Nuggets,130,6,1.5,40,490,5,1,0,14,LD
Chick Fil-A,6 piece Chicken Nuggets,190,9,1.5,55,730,7,1,0,21,LD
Chick Fil-A,8 piece Chicken Nuggets,260,12,3,70,990,9,1,1,28,LD
Chick Fil-A,12 piece Chicken Nuggets,390,18,1.5,115,1460,14,2,1,41,LD
Chick Fil-A,30 piece Chicken Nuggets,970,46,2.5,285,3660,35,4,1,103,LD
Chick Fil-A,Chicken Salad Sandwich,490,19,3,80,1130,55,5,12,28,LD
Chick Fil-A,Chicken Sandwich,440,19,4,60,1350,40,2,5,28,LD
Chick Fil-A,4 Piece Grilled Chicken Nuggets,70,2,1,35,220,1,0,0,13,LD
Chick Fil-A,6 Piece Grilled Chicken Nuggets,110,3,1,50,330,2,0,0,19,LD
Chick Fil-A,8 piece Grilled Chicken Nuggets,140,4,1,70,440,2,0,0,25,LD
Chick Fil-A,12 Piece Grilled Chicken Nuggets,210,5,1,100,670,3,0,1,38,LD
Chick Fil-A,Spicy Grilled Chicken Sub Sandwich,430,12,4.5,85,1310,47,5,9,33,LD
Chick Fil-A,Regular Grilled Chicken Sub Sandwich,450,13,6,75,1000,48,4,10,34,LD
Chick Fil-A,Smokehouse BBQ Bacon Sandwich,500,18,0,95,1200,46,2,10,33,LD
Chick Fil-A,Spicy Chicken Sandwich,450,19,4,60,1620,41,1,5,29,LD
Chick Fil-A,Spicy Deluxe,540,25,8,80,1760,43,2,6,34,LD
Chick Fil-A,Chargrilled Chicken Cool Wrap,350,14,5,60,960,29,15,3,37,LD
Chick Fil-A,Chicken Enchiladas Meal Kit,860,47,16,100,2520,70,0,8,39,LD
Chick Fil-A,Chicken Parmesan Meal Kit,720,31,15,120,1780,65,0,7,48,LD
