Company,Item,Calories,TotalFat_g,SaturatedFat_g,Cholesterol_mg,Sodium_mg,Carbs_g,Fiber_g,Sugars_g,Protein_g,ItemType
KFC,Limited Time ORIGINAL RECIPE CHICKEN Chicken Breast,390,21,4,120,1190,11,2,0,39,LD
KFC,Limited Time ORIGINAL RECIPE CHICKEN Chicken Limited Time Drumstick,130,8,2,55,430,4,1,0,12,LD
KFC,Limited Time ORIGINAL RECIPE CHICKEN Chicken Thigh,280,19,5,100,910,8,1,0,19,LD
KFC,Limited Time ORIGINAL RECIPE CHICKEN Chicken Whole Wing,130,8,2,55,380,3,0,0,10,LD
KFC,Chicken Drumstick,250,21,4,50,530,6,1,0,11,LD
KFC,Chicken Thigh,500,40,7,100,970,11,1,1,22,LD
KFC,Chicken Whole Wing,290,25,4,45,520,6,1,1,10,LD
KFC,Breast,260,12,3,130,790,1,0,0,38,LD
KFC,Drumstick,100,6,2,55,260,0,0,0,11,LD
KFC,Thigh,180,12,4,90,470,0,0,0,17,LD
KFC,Whole Wing,90,6,2,45,210,1,0,0,9,LD
KFC,Breast,540,40,7,100,1390,14,2,1,31,LD
KFC,Drumstick,190,14,3,40,510,6,1,0,9,LD
KFC,Thigh,390,32,6,65,900,12,2,1,13,LD
KFC,Whole Wing,180,15,3,35,450,5,1,0,8,LD
KFC,EXTRA CRISPY  Chicken Breast,530,35,6,105,1150,18,0,0,35,LD
KFC,EXTRA CRISPY  Chicken Drumstick,170,12,2,50,390,5,0,0,10,LD
KFC,EXTRA CRISPY  Chicken Thigh,330,23,5,100,700,9,0,0,22,LD
KFC,EXTRA CRISPY  Chicken Whole Wing,170,13,2,45,340,5,0,0,10,LD
KFC,KENTUCKY GRILLED CHICKEN Breast,210,7,2,130,710,0,0,0,38,LD
KFC,KENTUCKY GRILLED CHICKEN Drumstick,80,4,1,55,220,0,0,0,11,LD
KFC,KENTUCKY GRILLED CHICKEN Thigh,150,9,3,90,420,0,0,0,17,LD
KFC,KENTUCKY GRILLED CHICKEN Whole Wing,70,3,1,45,180,0,0,0,9,LD
KFC,SPICY CRISPY CHICKEN Breast,350,20,4,100,1100,11,1,0,30,LD
KFC,SPICY CRISPY CHICKEN Drumstick,130,8,2,40,420,5,1,0,9,LD
KFC,SPICY CRISPY CHICKEN Thigh,270,20,4,65,720,10,1,0,13,LD
KFC,SPICY CRISPY CHICKEN Whole Wing,120,8,2,35,350,5,0,0,7,LD
KFC,EXTRA CRISPY  Tender (each),260,14,2,50,610,15,0,0,19,LD
KFC,EXTRA CRISPY  Tender (each),220,16,3,25,460,9,0,0,10,LD
KFC,KENTUCKY FRIED WINGS Buffalo,100,7,2,20,310,3,0,0,5,LD
KFC,KENTUCKY FRIED WINGS Honey BBQ,100,6,1,20,210,8,0,4,5,LD
KFC,KENTUCKY FRIED WINGS Nashville Hot,130,11,2,20,230,4,0,0,5,LD
KFC,KENTUCKY FRIED WINGS Unsauced,80,6,1,20,150,3,0,0,5,LD
KFC,POPCORN NUGGETS Kids,290,19,3,30,870,19,1,0,13,LD
KFC,BBQ Baked Beans,190,1,0,0,650,34,7,15,11,S
KFC,Biscuit,180,8,5,0,520,22,1,1,4,S
KFC,Coleslaw,170,12,2,0,180,14,4,10,1,S
KFC,Corn on the Cob,70,1,0,0,0,17,2,3,2,S
