Company,Item,Calories,"Total Fat
(g)","Saturated Fat
(g)","Cholesterol
(mg)","Sodium 
(mg)","Carbs
(g)","Fiber
(g)","Sugars
(g)","Protein
(g)",Item Type
McDonald’s,Hamburger,250.00 ,9.00 ,3.50 ,25.00 ,520.00 ,31.00 ,2.00 ,6.00 ,12.00 ,LD
McDonald’s,Cheeseburger,300.00 ,12.00 ,6.00 ,40.00 ,750.00 ,33.00 ,2.00 ,6.00 ,15.00 ,LD
McDonald’s,Double Cheeseburger,440.00 ,23.00 ,11.00 ,80.00 ,"1,150.00 ",34.00 ,2.00 ,7.00 ,25.00 ,LD
McDonald’s,McDouble,390.00 ,19.00 ,8.00 ,65.00 ,920.00 ,33.00 ,2.00 ,7.00 ,22.00 ,LD
McDonald’s, Quarter Pounder® with Cheese,510.00 ,26.00 ,12.00 ,90.00 ,"1,190.00 ",40.00 ,3.00 ,9.00 ,29.00 ,LD
McDonald’s,Double Quarter Pounder® with Cheese,740.00 ,42.00 ,19.00 ,155.00 ,"1,380.00 ",40.00 ,3.00 ,9.00 ,48.00 ,LD
McDonald’s,Big Mac®,540.00 ,29.00 ,10.00 ,75.00 ,"1,040.00 ",45.00 ,3.00 ,9.00 ,25.00 ,LD
McDonald’s,Big N’ Tasty®,460.00 ,24.00 ,8.00 ,70.00 ,720.00 ,37.00 ,3.00 ,8.00 ,24.00 ,LD
McDonald’s,Big N’ Tasty® with Cheese,510.00 ,28.00 ,11.00 ,85.00 ,960.00 ,38.00 ,3.00 ,8.00 ,27.00 ,LD
McDonald’s,Angus Bacon & Cheese,790.00 ,39.00 ,17.00 ,145.00 ,"2,070.00 ",63.00 ,4.00 ,13.00 ,45.00 ,LD
McDonald’s,Angus Deluxe,750.00 ,39.00 ,16.00 ,135.00 ,"1,700.00 ",61.00 ,4.00 ,10.00 ,40.00 ,LD
McDonald’s,Angus Mushroom & Swiss,770.00 ,40.00 ,17.00 ,135.00 ,"1,170.00 ",59.00 ,4.00 ,8.00 ,44.00 ,LD
McDonald’s,Filet-O-Fish®,380.00 ,18.00 ,3.50 ,40.00 ,640.00 ,38.00 ,2.00 ,5.00 ,15.00 ,LD
McDonald’s,McChicken ®,360.00 ,16.00 ,3.00 ,35.00 ,830.00 ,40.00 ,2.00 ,5.00 ,14.00 ,LD
McDonald’s,McRib ®,500.00 ,26.00 ,10.00 ,70.00 ,980.00 ,44.00 ,3.00 ,11.00 ,22.00 ,LD
McDonald’s,Premium Grilled Chicken Classic Sandwich,360.00 ,9.00 ,2.00 ,65.00 ,820.00 ,41.00 ,4.00 ,8.00 ,27.00 ,LD
McDonald’s,Premium Crispy Chicken Classic Sandwich,510.00 ,22.00 ,3.50 ,45.00 ,990.00 ,56.00 ,3.00 ,10.00 ,24.00 ,LD
McDonald’s,Premium Grilled Chicken Club Sandwich,460.00 ,17.00 ,6.00 ,90.00 ,"1,040.00 ",43.00 ,4.00 ,9.00 ,35.00 ,LD
McDonald’s,Premium Crispy Chicken Club Sandwich,620.00 ,29.00 ,7.00 ,70.00 ,"1,200.00 ",57.00 ,3.00 ,11.00 ,31.00 ,LD
McDonald’s,Premium Grilled Chicken Ranch BLT Sandwich,380.00 ,10.00 ,3.00 ,75.00 ,"1,000.00 ",41.00 ,4.00 ,9.00 ,31.00 ,LD
McDonald’s,Premium Crispy Chicken Ranch BLT Sandwich,540.00 ,23.00 ,4.50 ,55.00 ,"1,160.00 ",56.00 ,3.00 ,11.00 ,27.00 ,LD
McDonald’s,Southern Style Crispy Chicken Sandwich,400.00 ,17.00 ,3.00 ,45.00 ,"1,030.00 ",39.00 ,1.00 ,6.00 ,24.00 ,LD
McDonald’s,Ranch Snack Wrap® (Crispy),340.00 ,17.00 ,4.50 ,30.00 ,810.00 ,33.00 ,1.00 ,2.00 ,14.00 ,LD
McDonald’s,Ranch Snack Wrap® (Grilled),270.00 ,10.00 ,4.00 ,45.00 ,830.00 ,26.00 ,1.00 ,2.00 ,18.00 ,LD
McDonald’s,Honey Mustard Snack Wrap® (Crispy),330.00 ,16.00 ,4.50 ,30.00 ,780.00 ,34.00 ,1.00 ,4.00 ,14.00 ,LD
McDonald’s,Honey Mustard Snack Wrap® (Grilled),260.00 ,9.00 ,3.50 ,45.00 ,800.00 ,27.00 ,1.00 ,4.00 ,18.00 ,LD
McDonald’s,Chipotle BBQ Snack Wrap® (Crispy),330.00 ,15.00 ,4.50 ,30.00 ,810.00 ,35.00 ,1.00 ,4.00 ,14.00 ,LD
